"ano","nome","classificacao","duracao","generos"
"2004","Hotel Rwanda","PG-13","2h 1m","Biography,Drama,History"
"2019","Ford v Ferrari","PG-13","2h 32m","Action,Biography,Drama"
"1976","Rocky","PG","2h","Drama,Sport"
"1986","Platoon","R","2h","Drama,War"
"2007","Ratatouille","G","1h 51m","Animation,Adventure,Comedy"
"2015","Spotlight","R","2h 9m","Biography,Crime,Drama"
"1984","The Terminator","R","1h 47m","Action,Sci-Fi"
"2017","Logan","R","2h 17m","Action,Drama,Sci-Fi"
"1986","Stand by Me","13+","1h 29m","Adventure,Drama"
"2013","Rush","R","2h 3m","Action,Biography,Drama"
"1976","Network","R","2h 1m","Drama"
"2007","Into the Wild","R","2h 28m","Adventure,Biography,Drama"
"2004","Before Sunset","R","1h 20m","Drama,Romance"
"1939","The Wizard of Oz","G","1h 42m","Adventure,Family,Fantasy"
"1955","Pather Panchali","Not Rated","2h 5m","Drama"
"1993","Groundhog Day","PG","1h 41m","Comedy,Drama,Fantasy"
"1946","The Best Years of Our Lives","Approved","2h 50m","Drama,Romance,War"
"1973","The Exorcist","R","2h 2m","Horror"
"2004","The Incredibles","PG","1h 55m","Animation,Action,Adventure"
"1942","To Be or Not to Be","Passed","1h 39m","Comedy,Romance,War"
"1995","La haine","Not Rated","1h 38m","Crime,Drama"
"1966","The Battle of Algiers","Not Rated","2h 1m","Drama,War"
"2003","Pirates of the Caribbean: The Curse of the Black Pearl","PG-13","2h 23m","Action,Adventure,Fantasy"
"2009","Hachi: A Dog's Tale","G","1h 33m","Biography,Drama,Family"
"1940","The Grapes of Wrath","Passed","2h 9m","Drama"
"2021","Jai Bhim","TV-MA","2h 44m","Crime,Drama,Mystery"
"2005","My Father and My Son","Not Rated","1h 52m","Drama,Family"
"2000","Amores Perros","R","2h 34m","Drama,Thriller"
"1940","Rebecca","Approved","2h 10m","Drama,Film-Noir,Mystery"
"1967","Cool Hand Luke","GP","2h 7m","Crime,Drama"
"2016","The Handmaiden","Not Rated","2h 25m","Drama,Romance,Thriller"
"1959","The 400 Blows","Not Rated","1h 39m","Crime,Drama"
"1965","The Sound of Music","G","2h 52m","Biography,Drama,Family"
"1934","It Happened One Night","Passed","1h 45m","Comedy,Romance"
"1966","Persona","Not Rated","1h 23m","Drama,Thriller"
"1979","Life of Brian","R","1h 34m","Comedy"
"1999","The Iron Giant","PG","1h 26m","Animation,Action,Adventure"
"2011","The Help","PG-13","2h 26m","Drama"
"1975","Dersu Uzala","G","2h 22m","Adventure,Biography,Drama"
"1992","Aladdin","G","1h 30m","Animation,Adventure,Comedy"
"1982","Gandhi","PG","3h 11m","Biography,Drama,History"
"1990","Dances with Wolves","PG-13","3h 1m","Adventure,Drama,Western"
